Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2003-09-30,1019.44,16.59,38.58,185.2,4.27,1415.4307892009,23.034211717063,53.565996868251,25.243686752606
2003-08-31,989.53,16.45,37.236666666667,184.6,4.45,1378.3681184724,22.914065817985,51.868901570964,24.642251409932
2003-07-31,992.54,16.31,35.893333333333,183.9,3.98,1387.8235076672,22.805530668842,50.188014355628,24.867329101269
2003-06-30,988.0,16.17,34.55,183.7,3.33,1382.9794882961,22.634391017964,48.362288786064,24.832223259531
2003-05-31,935.96,16.186666666667,33.14,183.5,3.57,1311.5630432698,22.682415694823,46.439163269755,23.591080453481
2003-04-30,890.03,16.203333333333,31.73,183.8,3.96,1245.1655286725,22.668710174102,44.390753373232,22.427939577731
2003-03-31,846.63,16.22,30.32,184.2,3.81,1181.8761757329,22.642750162866,42.326028664495,21.309719026991
2003-02-28,837.03,16.17,29.41,183.1,3.9,1175.4945776625,22.70856160568,41.302337465866,21.214102123415
2003-01-31,895.84,16.12,28.5,181.7,4.05,1267.7787658778,22.812772041827,40.332754540451,22.898348576613
2002-12-31,899.18,16.07,27.59,180.9,4.03,1278.1329243781,22.842585572139,39.217606467662,23.101442537686
2002-11-30,909.93,15.98,28.406666666667,181.3,4.05,1290.5597918919,22.664540650855,40.289364920022,23.348396502725
2002-10-31,854.63,15.89,29.223333333333,181.3,3.94,1212.1274328185,22.536893050193,41.447648703806,21.956233863659
2002-09-30,867.81,15.8,30.04,181.0,3.87,1232.860749116,22.446387845304,42.676550055249,22.365036801224
2002-08-31,912.55,15.88,28.94,180.7,4.26,1298.5732952407,22.597494853348,41.182084449364,23.588713528842
2002-07-31,903.59,15.96,27.84,180.1,4.65,1290.1067685175,22.786998556358,39.748749361466,23.463120467431
2002-06-30,1014.02,16.04,26.74,179.9,4.93,1449.3834840467,22.926679043913,38.220660700389,26.387672541183
2002-05-31,1079.25,15.936666666667,26.06,179.8,5.16,1543.4775625695,22.791649221357,37.269423470523,28.128107508688
2002-04-30,1111.93,15.833333333333,25.38,179.8,5.21,1590.2145065072,22.643868186874,36.296928921023,29.005883253119
2002-03-31,1153.79,15.73,24.7,178.8,5.28,1659.3087629195,22.621904194631,35.521998322148,30.292130640919
2002-02-28,1100.67,15.733333333333,24.696666666667,177.8,4.91,1591.8176778965,22.753957255343,35.716963835771,29.085704152008
2002-01-31,1140.21,15.736666666667,24.693333333333,177.1,5.04,1655.5192500847,22.848733653303,35.853297797854,30.277204433096
2001-12-31,1144.93,15.74,24.69,176.7,5.09,1666.1355702886,22.905307640068,35.929608998302,30.49995325502
2001-11-30,1129.68,15.74,25.896666666667,177.4,4.65,1637.4565136415,22.814925930101,37.536882581736,30.005103811057
2001-10-31,1076.59,15.74,27.103333333333,177.7,4.57,1557.8687451322,22.77640889139,39.219606246483,28.57737311336
2001-09-30,1044.64,15.74,28.31,178.3,4.73,1506.5489902412,22.699763656758,40.827846831183,27.667392586862
2001-08-31,1178.5,15.723333333333,31.136666666667,177.5,4.97,1707.2580929577,22.777927943662,45.106768056338,31.40431876078
2001-07-31,1204.45,15.706666666667,33.963333333333,177.5,5.24,1744.8510904225,22.75378343662,49.201676450704,32.163038687444
2001-06-30,1238.71,15.69,36.79,178.0,5.28,1789.441857809,22.665791629213,53.146875337079,33.068534411113
2001-05-31,1270.37,15.783333333333,39.673333333333,177.7,5.39,1838.2761476083,22.839113956106,57.408898480585,34.07464321714
2001-04-30,1189.84,15.876666666667,42.556666666667,176.9,5.14,1729.5323219898,23.078067778406,61.859687450537,32.173901168361
2001-03-31,1185.85,15.97,45.44,176.2,4.89,1730.5804946084,23.305958172531,66.313258569807,32.325837236179
2001-02-28,1305.75,16.07,46.96,175.8,5.1,1909.8933404437,23.50525443686,68.687414334471,35.834662651431
2001-01-31,1335.63,16.17,48.48,175.1,5.16,1961.408124329,23.74607441462,71.194167447173,36.97886799703
2000-12-31,1330.93,16.27,50.0,174.0,5.24,1966.8621222414,24.043974310345,73.890517241379,37.274238004497
2000-11-30,1378.04,16.296666666667,51.233333333333,174.1,5.72,2035.3120480184,24.069549511775,75.669661688685,38.782142456785
